Brand,Model_No,SubmitStatus,Config,Country,Power Input (kW),Cooling Capacity (kW),Refrigerant,Type,Variable Output Compressor,IMG
PANASONIC,S-60PT2E5B/U-60PZ2R5,Approved,Non Ducted,Malaysia,1.48,6,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/375b0a473496?text=PANASONICS-60PT2E5B/U-60PZ2R5
PANASONIC,S-60PF1E5B/U-60PZ2R5,Approved,Ducted,Malaysia,1.58,6,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/39c0bc1765cc?text=PANASONICS-60PF1E5B/U-60PZ2R5
PANASONIC,S-60PE1R5B/U-60PZ2R5,Approved,Ducted,Malaysia,1.86,6,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/86204c6e2a57?text=PANASONICS-60PE1R5B/U-60PZ2R5
EUROMATIC,EUR-5000WAC,Approved,Non Ducted,China,0.5,1.6,R410A,Cooling Only,,http://via.placeholder.com/150/17db7a799fd21?text=EUROMATICEUR-5000WAC
PANASONIC,S-60PE1R5B/U-60PE1R5A,Approved,Ducted,China,1.85,6,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/a0793d82bfb26?text=PANASONICS-60PE1R5B/U-60PE1R5A
PANASONIC,S-71PE1R5B/U-71PE1R5A,Approved,Ducted,China,2.2,7.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c9d74002b04e?text=PANASONICS-71PE1R5B/U-71PE1R5A
PANASONIC,S-100PE1R5B/U-100PE1R5A,Approved,Ducted,China,2.98,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/d0a331394c8c?text=PANASONICS-100PE1R5B/U-100PE1R5A
PANASONIC,S-125PE1R5B/U-125PE1R5A,Approved,Ducted,China,3.9,12.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/bae2aa412f63?text=PANASONICS-125PE1R5B/U-125PE1R5A
PANASONIC,S-140PE1R5B/U-140PE1R5A,Approved,Ducted,China,4.45,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/59542c0c8dfe?text=PANASONICS-140PE1R5B/U-140PE1R5A
PANASONIC,S-100PE1R5B/U-100PE1R8A,Approved,Ducted,China,2.98,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/de28bc251bba?text=PANASONICS-100PE1R5B/U-100PE1R8A
PANASONIC,S-125PE1R5B/U-125PE1R8A,Approved,Ducted,China,3.9,12.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/89a335760588?text=PANASONICS-125PE1R5B/U-125PE1R8A
PANASONIC,S-140PE1R5B/U-140PE1R8A,Approved,Ducted,China,4.45,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/4c674af4694b?text=PANASONICS-140PE1R5B/U-140PE1R8A
