Brand,Model_No,SubmitStatus,Config,Country,Power Input (kW),Cooling Capacity (kW),Refrigerant,Type,Variable Output Compressor,IMG
TOSHIBA,RAS-B18UFV-A/RAS-18SAV2-A,Approved,Non Ducted,Thailand,1.63,4.9,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f645c99919c8?text=TOSHIBARAS-B18UFV-A/RAS-18SAV2-A
DAIKIN,FDYQN180LB / RZQ180L,Approved,Ducted,Thailand;Australia,5.88,18,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c401a15a07de?text=DAIKINFDYQN180LB / RZQ180L
DAIKIN,FDYQN200LB / RZQ200LY,Approved,Ducted,Australia;Thailand,6.44,20,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/ddff698dab62?text=DAIKINFDYQN200LB / RZQ200LY
ACTRON AIR,CAY470T / EVY470T,Approved,Ducted,Australia,15.4,45.77,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/0f70cbf076e0?text=ACTRON AIRCAY470T / EVY470T
ACTRON AIR,PKY470T,Approved,Ducted,Australia,15.4,45.77,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/26edd54fc489?text=ACTRON AIRPKY470T
SPECIALIZED ENGINEERING,APC024VA3B,Approved,Ducted,Australia,7,24.6,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/e58aab409d72?text=SPECIALIZED ENGINEERINGAPC024VA3B
SPECIALIZED ENGINEERING,APH024VA3B,Approved,Ducted,Australia,7,24.6,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/19886d4fcd44?text=SPECIALIZED ENGINEERINGAPH024VA3B
Mammoth,MSR-L009,Approved,Ducted,China,0.655,3,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/06c141133b48?text=MammothMSR-L009
Mitsubishi Electric,MUFZ-KJ50VE-A1,Approved,Non Ducted,Thailand;Japan,1.4,4.995,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/f62435ca7c24?text=Mitsubishi ElectricMUFZ-KJ50VE-A1
Mitsubishi Electric,MUFZ-KJ50VEHZ-A1,Approved,Non Ducted,Thailand;Japan,1.4,4.995,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/c4b5b313edcd?text=Mitsubishi ElectricMUFZ-KJ50VEHZ-A1
Mammoth,MSR-L013,Approved,Ducted,China,1.002,4.1,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/cb11839014b0?text=MammothMSR-L013
Mammoth,MSR-L016,Approved,Ducted,China,1.24,5.34,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/375b0a473477?text=MammothMSR-L016
Mammoth,MSR-L019,Approved,Ducted,China,1.48,6.2,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/39c0bc1765cc?text=MammothMSR-L019
Mammoth,MSR-L024,Approved,Ducted,China,1.79,7.6,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/86204c6e2a38?text=MammothMSR-L024
Mammoth,MSR-L030,Approved,Ducted,China,2.186,9.4,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/17db7a799fd2?text=MammothMSR-L030
Mammoth,L036HHE,Approved,Ducted,China,2.55,10.99,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/a0793d82bfb7?text=MammothL036HHE
Mammoth,MSR-J043,Approved,Ducted,China,3.08,12.3,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/c9d72102b04e?text=MammothMSR-J043
Mammoth,MSR-J052,Approved,Ducted,China,3.62,15,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/d0a312394c8c?text=MammothMSR-J052
Mammoth,MSR-J062,Approved,Ducted,China,4.4,16.5,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/bae2aa412f44?text=MammothMSR-J062
Mammoth,MSR-J072,Approved,Ducted,China,5.1,19.3,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/59542c0c8dfe?text=MammothMSR-J072
Carrier,42NQV050M-A/38NYV050M-A,Approved,Non Ducted,Thailand,1.51,5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/de28bc251bba?text=Carrier42NQV050M-A/38NYV050M-A
DAIKIN,FCQ100KA / RZQ100L,Approved,Non Ducted,Japan;Thailand,2.64,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/89a316760569?text=DAIKINFCQ100KA / RZQ100L
DAIKIN,FDYQT160L / RZQS160AY,Approved,Ducted,Thailand,4.92,16,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/4c674af4694b?text=DAIKINFDYQT160L / RZQS160AY
DAIKIN,FBQ50DV / RZQS50AV,Approved,Ducted,Thailand,1.35,5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/e351fcf7527c?text=DAIKINFBQ50DV / RZQS50AV
DAIKIN,FCQ60KV / RZQS60AV,Approved,Non Ducted,Japan,1.67,6,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f645c99919c8?text=DAIKINFCQ60KV / RZQS60AV
DAIKIN,FCQ71KA / RZQS71AV,Approved,Non Ducted,Thailand,1.84,7.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c401a15a07de?text=DAIKINFCQ71KA / RZQS71AV
DAIKIN,FCQ100KA / RZQS100AV,Approved,Non Ducted,Thailand,2.57,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/ddff698dab62?text=DAIKINFCQ100KA / RZQS100AV
DAIKIN,FCQ125KAVEA / RZQS125AV1,Approved,Non Ducted,Thailand,3.56,12.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/0f70cbf076e0?text=DAIKINFCQ125KAVEA / RZQS125AV1
LENNOX,AWH002SNM1T,Approved,Ducted,France,0.47,2.04,R410A,Reverse Cycle,,http://via.placeholder.com/150/26edd54fc489?text=LENNOXAWH002SNM1T
LENNOX,AWH003SNM1T,Approved,Ducted,France,0.69,2.7,R410A,Reverse Cycle,,http://via.placeholder.com/150/e58aab409d72?text=LENNOXAWH003SNM1T
LENNOX,AWH007SNM1T,Approved,Ducted,France,1.59,6.8,R410A,Reverse Cycle,,http://via.placeholder.com/150/19886d4fcd44?text=LENNOXAWH007SNM1T
LENNOX,AWH008SNM1T,Approved,Ducted,France,2.06,8,R410A,Reverse Cycle,,http://via.placeholder.com/150/06c141133b48?text=LENNOXAWH008SNM1T
LENNOX,AWH010SNM1T,Approved,Ducted,France,2.5,10.2,R410A,Reverse Cycle,,http://via.placeholder.com/150/f62435ca7c24?text=LENNOXAWH010SNM1T
Braemar,SDHV22B1S/SCHV22B3S,Approved,Ducted,China,7,23.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c4b5b313edcd?text=BraemarSDHV22B1S/SCHV22B3S
YORK,YV2VYH022KAS-D-X ,Approved,Ducted,China,5.53,22.8,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/cb11839014b0?text=YORKYV2VYH022KAS-D-X 
YORK,YV2VYH028KAS-D-X,Approved,Ducted,China,7.28,28.9,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/375b0a473477?text=YORKYV2VYH028KAS-D-X
YORK,YV2VYH033KAS-D-X,Approved,Ducted,China,9.83,34.8,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/39c0bc1765cc?text=YORKYV2VYH033KAS-D-X
YORK,YV2VYH040KAS-D-X,Approved,Ducted,China,11.22,41.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/86204c6e2a38?text=YORKYV2VYH040KAS-D-X
YORK,YV2VYH045KAS-D-X,Approved,Ducted,China,13.3,46.4,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/17db7a799fd2?text=YORKYV2VYH045KAS-D-X
YORK,YV2VYT029KAS-D-X,Approved,Ducted,China,7.63,29.3,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/a0793d82bfb7?text=YORKYV2VYT029KAS-D-X
YORK,YV2VYT035KAS-D-X,Approved,Ducted,China,9.2,35.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c9d72102b04e?text=YORKYV2VYT035KAS-D-X
YORK,YV2VYT042KAS-D-X,Approved,Ducted,China,12.21,41.7,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/d0a312394c8c?text=YORKYV2VYT042KAS-D-X
YORK,YV2VYT045KAS-D-X,Approved,Ducted,China,13.95,45,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/bae2aa412f44?text=YORKYV2VYT045KAS-D-X
MITSUBISHI ELECTRIC,MFZ-KJ60VE / MUFZ-KJ60VE,Approved,Non Ducted,Japan;Thailand,1.75,6.036,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/59542c0c8dfe?text=MITSUBISHI ELECTRICMFZ-KJ60VE / MUFZ-KJ60VE
MITSUBISHI ELECTRIC,MFZ-KJ60VE / MUFZ-KJ60VEHZ,Approved,Non Ducted,Japan;Thailand,1.75,6.114,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/de28bc251bba?text=MITSUBISHI ELECTRICMFZ-KJ60VE / MUFZ-KJ60VEHZ
TEMPERZONE,ISD235KY/OSA224RKTGH,Approved,Ducted,New Zealand,6.72,21.71,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/89a316760569?text=TEMPERZONEISD235KY/OSA224RKTGH
DAIKIN,RXYMQ4P,Approved,Non Ducted,Thailand;Japan,3.07,11.2,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/4c674af4694b?text=DAIKINRXYMQ4P
DAIKIN,FVXG25K2 / RXG25L2,Approved,Non Ducted,Czechia,0.54,2.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/e351fcf7527c?text=DAIKINFVXG25K2 / RXG25L2
DAIKIN,FVXG35K2 / RXG35L2,Approved,Non Ducted,Czechia,0.94,3.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f645c99919c8?text=DAIKINFVXG35K2 / RXG35L2
DAIKIN,FVXG50K2 / RXG50L2,Approved,Non Ducted,Czechia,1.43,4.8,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c401a15a07de?text=DAIKINFVXG50K2 / RXG50L2
BEKO,BK8000,Approved,Non Ducted,China,2.46,8,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/ddff698dab62?text=BEKOBK8000
DAIKIN,FDYQ50D / RZQS50A,Archived,Ducted,Thailand,1.5,5.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/0f70cbf076e0?text=DAIKINFDYQ50D / RZQS50A
DAIKIN,FDYQ60DV1 / RZQS60AV1,Approved,Ducted,Thailand,1.71,6,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/26edd54fc489?text=DAIKINFDYQ60DV1 / RZQS60AV1
DAIKIN,FAQ71CV / RZQS71AV,Approved,Non Ducted,Thailand,2.2,7.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/e58aab409d72?text=DAIKINFAQ71CV / RZQS71AV
DAIKIN,FAQ100CV / RZQS100AV,Approved,Non Ducted,Thailand,3.19,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/19886d4fcd44?text=DAIKINFAQ100CV / RZQS100AV
DAIKIN,FAQ100CV / RZQS100AY,Approved,Non Ducted,Thailand,3.19,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/06c141133b48?text=DAIKINFAQ100CV / RZQS100AY
DAIKIN,FDYQ180L / RZQS180AY,Approved,Ducted,Thailand,5.64,18,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f62435ca7c24?text=DAIKINFDYQ180L / RZQS180AY
DAIKIN,FBQ125DB / RZQS125AY,Approved,Ducted,Thailand,3.23,12,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c4b5b313edcd?text=DAIKINFBQ125DB / RZQS125AY
Carrier,42TSV110P1/38TSV110P1,Approved,Non Ducted,China,3.35,10.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/cb11839014b0?text=Carrier42TSV110P1/38TSV110P1
Carrier,42TSV130P1/38TSV130P1,Approved,Non Ducted,China,3.95,12.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/375b0a473477?text=Carrier42TSV130P1/38TSV130P1
Carrier,42SHV052P1/38SHV052P1,Approved,Ducted,China,1.45,5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/39c0bc1765cc?text=Carrier42SHV052P1/38SHV052P1
DAIKIN,FDYQT180L / RZYQ7P,Approved,Ducted,Thailand,5.638,18,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/86204c6e2a38?text=DAIKINFDYQT180L / RZYQ7P
DAIKIN,FHQ100BW / RZQS100AV,Approved,Non Ducted,Thailand,2.85,9.2,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/17db7a799fd2?text=DAIKINFHQ100BW / RZQS100AV
DAIKIN,FDYQT200L / RZYQ8P,Approved,Ducted,Thailand,6.081,20,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/a0793d82bfb7?text=DAIKINFDYQT200L / RZYQ8P
DAIKIN,FDYQT250L / RZQ10P,Approved,Ducted,Thailand,7.47,24,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c9d72102b04e?text=DAIKINFDYQT250L / RZQ10P
Braemar,SACC18C-S/SCCF18C1S,Approved,Ducted,Thailand,4.9,16.6,R410A,Cooling Only,FALSE,http://via.placeholder.com/150/d0a312394c8c?text=BraemarSACC18C-S/SCCF18C1S
Braemar,BD15A/SCHF13C1S,Approved,Ducted,Thailand,4.26,13.4,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/bae2aa412f44?text=BraemarBD15A/SCHF13C1S
Braemar,SDHF15C1S/BC13A,Approved,Ducted,Thailand,4.26,13.4,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/59542c0c8dfe?text=BraemarSDHF15C1S/BC13A
Braemar,SDHF15C1S/SCHF13C1S,Approved,Ducted,Thailand,4.26,13.4,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/de28bc251bba?text=BraemarSDHF15C1S/SCHF13C1S
Braemar,BD15A/SCHF15C1S,Approved,Ducted,Thailand,4.82,15,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/89a316760569?text=BraemarBD15A/SCHF15C1S
Braemar,SDHF15C1S/BC15A,Approved,Ducted,Thailand,4.82,15,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/4c674af4694b?text=BraemarSDHF15C1S/BC15A
Braemar,SDHF15C1S/SCHF15C1S,Approved,Ducted,Thailand,4.82,15,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/e351fcf7527c?text=BraemarSDHF15C1S/SCHF15C1S
YORK,YV2VYH010KAR-D-X,Approved,Ducted,China,3.09,10.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f645c99919c8?text=YORKYV2VYH010KAR-D-X
YORK,YV2VYH015KAR-D-A,Approved,Ducted,China,4.25,15,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c401a15a07de?text=YORKYV2VYH015KAR-D-A
YORK,YV2VYH015KAS-D-X,Approved,Ducted,China,5.17,16.4,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/ddff698dab62?text=YORKYV2VYH015KAS-D-X
YORK,YV2VYT024KAS-D-X,Approved,Ducted,China,5.95,22.4,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/0f70cbf076e0?text=YORKYV2VYT024KAS-D-X
GREE,GWH28ME-K3DNA1H/I(DRED) / GWH28ME-K3DNA4H/O(DRED),Approved,Non Ducted,China,2.46,8,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/26edd54fc489?text=GREEGWH28ME-K3DNA1H/I(DRED) / GWH28ME-K3DNA4H/O(DRED)
TEMPERZONE,ISD164KYX/OSA164RKTGH,Approved,Ducted,Australia;New Zealand,5.1,15.97,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/e58aab409d72?text=TEMPERZONEISD164KYX/OSA164RKTGH
MIDEA,DMORC28,Approved,Non Ducted,China,2.37,8.15,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/19886d4fcd44?text=MIDEADMORC28
ACTRON AIR,PCG340U-G,Approved,Ducted,Australia,10.3,33,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/06c141133b48?text=ACTRON AIRPCG340U-G
ACTRON AIR,PCG340U-M615,Approved,Ducted,Australia,10.3,33,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/f62435ca7c24?text=ACTRON AIRPCG340U-M615
ACTRON AIR,PCG340V-G,Approved,Ducted,Australia,10.3,33,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/c4b5b313edcd?text=ACTRON AIRPCG340V-G
ACTRON AIR,PCG340V-M,Approved,Ducted,Australia,10.3,33,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/cb11839014b0?text=ACTRON AIRPCG340V-M
ACTRON AIR,PCG340V-M615,Approved,Ducted,Australia,10.3,33,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/375b0a473477?text=ACTRON AIRPCG340V-M615
Toshiba,RAV-SM307KRTP-A / RAV-SM304ATP-A,Archived,Non Ducted,Thailand,0.61,2.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/39c0bc1765cc?text=ToshibaRAV-SM307KRTP-A / RAV-SM304ATP-A
Toshiba,RAV-SM407KRTP-A / RAV-SM404ATP-A,Archived,Non Ducted,Thailand,0.78,3.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/86204c6e2a38?text=ToshibaRAV-SM407KRTP-A / RAV-SM404ATP-A
GREE,GWH12MB-K3DNA2J(DRED),Approved,Non Ducted,China,0.95,3.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/17db7a799fd2?text=GREEGWH12MB-K3DNA2J(DRED)
GREE,GWH24ME-K3DNA1A/I(DRED)/GWH24ME-K3DNA3A/O(DRED),Approved,Non Ducted,China,2.14,7,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/a0793d82bfb7?text=GREEGWH24ME-K3DNA1A/I(DRED)/GWH24ME-K3DNA3A/O(DRED)
YORK,YV2VYH018KAS-D-X,Approved,Ducted,China,5.8,18.7,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c9d72102b04e?text=YORKYV2VYH018KAS-D-X
DAIKIN,FCQ100KA / RZQS100AY,Approved,Non Ducted,Japan;Thailand,2.57,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/d0a312394c8c?text=DAIKINFCQ100KA / RZQS100AY
DAIKIN,FCQ60KA / RZQS60AV,Approved,Non Ducted,Thailand,1.67,6,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/bae2aa412f44?text=DAIKINFCQ60KA / RZQS60AV
DAIKIN,FCQ140K / RZQS140AY,Approved,Non Ducted,Thailand,4.4,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/59542c0c8dfe?text=DAIKINFCQ140K / RZQS140AY
DAIKIN,FCQ50KA / RZQS50AV,Approved,Non Ducted,Thailand,1.27,5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/de28bc251bba?text=DAIKINFCQ50KA / RZQS50AV
DAIKIN,FBQ140DV / RZQS140AV,Approved,Ducted,Thailand,3.51,13,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/89a316760569?text=DAIKINFBQ140DV / RZQS140AV
DAIKIN,FBQ71DV / RZQ71LV,Approved,Ducted,Thailand,2.1,7.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/4c674af4694b?text=DAIKINFBQ71DV / RZQ71LV
DAIKIN,FDYQ200LB / RZQS200AY,Approved,Ducted,Australia;Thailand,6.08,20,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/e351fcf7527c?text=DAIKINFDYQ200LB / RZQS200AY
DAIKIN,FHQ125BVV/ RZQS125AV,Approved,Non Ducted,Thailand,3.56,11.2,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f645c99919c8?text=DAIKINFHQ125BVV/ RZQS125AV
DAIKIN,FHQ125BVV / RZQS125AY,Approved,Non Ducted,Thailand,3.56,11.2,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c401a15a07de?text=DAIKINFHQ125BVV / RZQS125AY
DAIKIN,FHQ71BVV / RZQ71LV,Approved,Non Ducted,Thailand,1.77,5.8,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/ddff698dab62?text=DAIKINFHQ71BVV / RZQ71LV
TECO,TSOM053HVBMJBE,Approved,Both,China,1.57,5.3,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/0f70cbf076e0?text=TECOTSOM053HVBMJBE
DAIKIN,FCQ100KV / RZQS100AY,Approved,Non Ducted,Thailand,2.57,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f645c109919c9?text=DAIKINFCQ100KV / RZQS100AY
DAIKIN,FCQ125KA / RZQS125AY,Approved,Non Ducted,Thailand,3.56,12.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c401a25a07de?text=DAIKINFCQ125KA / RZQS125AY
DAIKIN,FDYQT71L / RZQS71AV,Approved,Ducted,Thailand,2.05,7.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/ddff708dab63?text=DAIKINFDYQT71L / RZQS71AV
DAIKIN,FCQ140KV / RZQS140AV,Approved,Non Ducted,Thailand,4.4,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/0f70cbf076e1?text=DAIKINFCQ140KV / RZQS140AV
DAIKIN,FCQ140KA / RZQ140LV,Approved,Non Ducted,Japan;Thailand,4.51,13.6,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/26edd64fc490?text=DAIKINFCQ140KA / RZQ140LV
DAIKIN,FCQ140KA / RZQS140AV,Approved,Non Ducted,Thailand,4.4,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/e58aab409d73?text=DAIKINFCQ140KA / RZQS140AV
DAIKIN,FCQ140KV / RZQS140AY,Approved,Non Ducted,Thailand,4.4,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/19886d4fcd45?text=DAIKINFCQ140KV / RZQS140AY
DAIKIN,FCQ71KA / RZQ71L,Approved,Non Ducted,Thailand,1.99,7.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/06c142133b49?text=DAIKINFCQ71KA / RZQ71L
DAIKIN,FCQ71KV / RZQ71L,Approved,Non Ducted,Japan,1.99,7.1,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f62436ca7c25?text=DAIKINFCQ71KV / RZQ71L
Goldair,GHP100 (KFR-09GW/BPX1),Approved,Non Ducted,China,0.67,2.448,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/c4b5b413edcd?text=GoldairGHP100 (KFR-09GW/BPX1)
Goldair,Goldair,Approved,Non Ducted,China,0.67,2.448,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/cb11849014b1?text=GoldairGoldair
DUNNAIR,DWAIS04,Approved,Ducted,China,1.13,4.3,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/375b0a473478?text=DUNNAIRDWAIS04
"MITSUBISHI HEAVY INDUSTRIES, LTD.",FDC224KXZPE1,Approved,Non Ducted,Thailand,5.76,22.4,R410A,Reverse Cycle,TRUE,"http://via.placeholder.com/150/39c0bc1765cc?text=MITSUBISHI HEAVY INDUSTRIES, LTD.FDC224KXZPE1"
TECO,TSOM078HVBMJBE,Approved,Both,China,2.33,7.8,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/86204c6e2a39?text=TECOTSOM078HVBMJBE
TECO,TSOM105HVBMJBE,Approved,Both,China,3.08,10.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/17db7a799fd3?text=TECOTSOM105HVBMJBE
"MITSUBISHI HEAVY INDUSTRIES, LTD.",FDC140KXES6,Approved,Non Ducted,Thailand,4.32,14,R410A,Reverse Cycle,FALSE,"http://via.placeholder.com/150/a0793d82bfb8?text=MITSUBISHI HEAVY INDUSTRIES, LTD.FDC140KXES6"
TECO,TDS070HVBMJBE / TSO070HVBMJBE,Approved,Ducted,China,2.2,7,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c9d72202b04e?text=TECOTDS070HVBMJBE / TSO070HVBMJBE
Haier,AS53HE1HRA(N*)/1U53RU3ERE,Approved,Non Ducted,China,1.42,5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/d0a313394c8c?text=HaierAS53HE1HRA(N*)/1U53RU3ERE
Haier,AS53HE1HRA(NF)/1U53RU3ERE,Approved,Non Ducted,China,1.42,5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/bae2aa412f45?text=HaierAS53HE1HRA(NF)/1U53RU3ERE
Haier,AS53HE1HRA(NH)/1U53RU3ERE,Approved,Non Ducted,China,1.42,5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/59542c0c8dfe?text=HaierAS53HE1HRA(NH)/1U53RU3ERE
TECO,TDS100HVBMJ0BE / TSO100HVBMJBE,Approved,Ducted,China,3.18,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/de28bc251bba?text=TECOTDS100HVBMJ0BE / TSO100HVBMJBE
TECO,TDS128HVBMJBE / TSO128HVBMJBE,Approved,Ducted,China,4.09,12.8,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/89a317760570?text=TECOTDS128HVBMJBE / TSO128HVBMJBE
TECO,TDS163HVBMJBE / TSO163HVBMJBE,Approved,Ducted,China,5.19,16.25,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/4c674af4694b?text=TECOTDS163HVBMJBE / TSO163HVBMJBE
Goldair,GHP200 (KFR-18GW/BPX1),Approved,Non Ducted,China,1.58,5.154,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/e351fcf7527c?text=GoldairGHP200 (KFR-18GW/BPX1)
Goldair,Goldair,Approved,Non Ducted,China,1.58,5.154,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/f645c109919c9?text=GoldairGoldair
Goldair,GHP300 (KFR-24GW/BPX1),Approved,Non Ducted,China,1.94,6.024,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/c401a25a07de?text=GoldairGHP300 (KFR-24GW/BPX1)
Goldair,Goldair,Approved,Non Ducted,China,1.94,6.024,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/ddff708dab63?text=GoldairGoldair
MIDEA,MM5OX545,Approved,Non Ducted,China,3.86,13.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/0f70cbf076e1?text=MIDEAMM5OX545
SPECIALIZED ENGINEERING,ASCE035HA3A - ASCC035VA3A,Approved,Ducted,Australia,9.82,33.248,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/26edd64fc490?text=SPECIALIZED ENGINEERINGASCE035HA3A - ASCC035VA3A
SPECIALIZED ENGINEERING,ASHE035HA3A - ASHC035VA3A,Approved,Ducted,Australia,9.82,33.248,R410A,Reverse Cycle,FALSE,http://via.placeholder.com/150/e58aab409d73?text=SPECIALIZED ENGINEERINGASHE035HA3A - ASHC035VA3A
DAIKIN,RXYMQ3AV,Archived,Non Ducted,Thailand,2.52,9,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/19886d4fcd45?text=DAIKINRXYMQ3AV
DAIKIN,RXYMQ4AV,Archived,Non Ducted,Thailand,3.04,11.2,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/06c142133b49?text=DAIKINRXYMQ4AV
DAIKIN,RXYMQ5AV,Archived,Non Ducted,Thailand,4.12,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f62436ca7c25?text=DAIKINRXYMQ5AV
