School Number,School Name,Suburb,Post code,Type of Schooling,Index of Educational Disadvantage,Latitude,Longitude
207,Kilkenny Primary School,West Croydon,5008,Primary Education,4,-34.890875,138.552927
1372,Kilparrin Tch & Assessment Sch & Ser,Park Holme,5043,Special Education,6,-34.991038,138.555292
736,Kimba Area School,Kimba,5641,Primary/Secondary Combined,6,-33.135605,136.419417
737,Kingston Community School,Kingston SE,5275,Primary/Secondary Combined,4,-36.836572,139.857517
209,Kingston-on-Murray Primary School,Kingston on Murray,5331,Primary Education,4,-34.222619,140.346866
899,Kirton Point Primary School,Port Lincoln,5606,Primary Education,2,-34.731891,135.868237
898,Klemzig Primary School,Klemzig,5087,Primary Education,4,-34.877176,138.637665
211,Kongorong Primary School,Kongorong,5291,Primary Education,6,-37.902247,140.561148
212,Koolunga Primary School,Koolunga,5464,Primary Education,5,-33.580835,138.335026
1003,Koonibba Aboriginal School,Koonibba,5690,Aboriginal/Anangu Schools,1,-31.901766,133.424683
563,Lake Wangary Primary School,Wangary,5607,Primary Education,4,-34.550294,135.479343
1908,Lake Windemere B-7 School,Salisbury North,5108,Primary Education,2,-34.740265,138.619702
759,Lameroo Regional Community School,Lameroo,5302,Primary/Secondary Combined,5,-35.331434,140.522579
219,Largs Bay School,Largs Bay,5016,Primary Education,5,-34.823666,138.494282
220,Laura Primary School,Laura,5480,Primary Education,5,-33.187073,138.303714
814,Le Fevre High School,Semaphore South,5019,Secondary Education,3,-34.845622,138.484995
221,Le Fevre Peninsula Primary School,Birkenhead,5015,Primary Education,3,-34.840072,138.495412
748,Leigh Creek Area School,Leigh Creek,5731,Primary/Secondary Combined,3,-30.592851,138.401496
136,Lenswood Primary School,Lenswood,5240,Primary Education,7,-34.922274,138.823468
223,Light Pass Primary School,Light Pass,5355,Primary Education,5,-34.46919,139.025019
1158,Lincoln Gardens Primary School,Port Lincoln,5606,Primary Education,1,-34.741991,135.847525
647,Linden Park Primary School,Linden Park,5065,Primary Education,7,-34.94781,138.645603
225,Littlehampton Primary School,Littlehampton,5250,Primary Education,7,-35.049417,138.868095
227,Lobethal Primary School,Lobethal,5241,Primary Education,5,-34.901735,138.871761
230,Lock Area School,Lock,5633,Primary/Secondary Combined,6,-33.567298,135.754637
911,Lockleys North Primary School,Lockleys,5032,Primary Education,7,-34.920591,138.537668
231,Lockleys Primary School,Brooklyn Park,5032,Primary Education,6,-34.930203,138.535095
1133,Long Street Primary School,Whyalla Norrie,5608,Primary Education,2,-33.038921,137.533009
1098,Lonsdale Heights Primary School,Christie Downs,5164,Primary Education,2,-35.124772,138.501556
895,Loxton High School,Loxton,5333,Secondary Education,5,-34.443053,140.585017
678,Loxton North School,Loxton North,5333,Primary Education,4,-34.413133,140.624328
760,Loxton Primary School,Loxton,5333,Primary Education,4,-34.451324,140.567155
749,Lucindale Area School,Lucindale,5272,Primary/Secondary Combined,6,-36.964206,140.370633
237,Lyndoch Primary School,Lyndoch,5351,Primary Education,6,-34.60554,138.885678
239,Macclesfield Primary School,Macclesfield,5153,Primary Education,6,-35.171315,138.83847
649,Madison Park School,Salisbury East,5109,Primary Education,4,-34.783863,138.662355
1213,Magill School,Magill,5072,Primary Education,7,-34.91362,138.676746
241,Mallala Primary School,Mallala,5502,Primary Education,3,-34.43456,138.510526
1170,Mannum Community College,Mannum,5238,Primary/Secondary Combined,2,-34.912544,139.303495
245,Manoora Primary School,Manoora,5414,Primary Education,5,-34.006284,138.814121
583,Marden Senior College,Marden,5070,Secondary Education,3,-34.891954,138.63523
993,Marion Primary School,Marion,5043,Primary Education,5,-35.00386,138.555218
1900,Mark Oliphant College (B-12),Munno Para,5115,Primary/Secondary Combined,1,-34.665475,138.683575
248,Marree Aboriginal School,Marree,5733,Aboriginal/Anangu Schools,1,-29.649185,138.061054
817,Marryatville High School,Marryatville,5068,Secondary Education,7,-34.928185,138.645753
249,Marryatville Primary School,Kensington,5068,Primary Education,7,-34.924542,138.649185
987,Mawson Lakes School,Mawson Lakes,5095,Primary Education,7,-34.809171,138.61436
1021,McDonald Park School,Mount Gambier,5290,Primary Education,5,-37.825702,140.793167
250,McLaren Flat Primary School,McLaren Flat,5171,Primary Education,6,-35.206513,138.587256
251,McLaren Vale Primary School,McLaren Vale,5171,Primary Education,6,-35.211655,138.531438
252,Meadows Primary School,Meadows,5201,Primary Education,6,-35.180498,138.761924
1020,Melaleuca Park Primary School,Mount Gambier,5290,Primary Education,2,-37.83974,140.79438
253,Melrose Primary School,Melrose,5483,Primary Education,6,-32.823816,138.187871
479,Memorial Oval Primary School,Whyalla,5600,Primary Education,5,-33.033445,137.568711
750,Meningie Area School,Meningie,5264,Primary/Secondary Combined,2,-35.682635,139.342158
214,Mid North Education Centre,Port Pirie,5540,Special Education,2,-33.17503,138.005415
265,Mil Lel Primary School,Mil-Lel,5291,Primary Education,7,-37.781125,140.825631
780,Millicent High School,Millicent,5280,Secondary Education,3,-37.590971,140.358711
605,Millicent North Primary School,Millicent,5280,Primary Education,4,-37.592968,140.343376
1121,Miltaburra Area School,Wirrulla,5661,Primary/Secondary Combined,5,-32.375617,134.33113
1527,Mimili Anangu School,Mimili,872,Aboriginal/Anangu Schools,1,-27.006196,132.70862
781,Minlaton District School,Minlaton,5575,Primary/Secondary Combined,4,-34.765873,137.593581
1794,Mintabie Area School,Mintabie,5724,Primary/Secondary Combined,1,-27.315532,133.290422
903,Mitcham Girls High School,Kingswood,5062,Secondary Education,6,-34.969865,138.610036
270,Mitcham Primary School,Kingswood,5062,Primary Education,7,-34.972708,138.616124
1071,Moana Primary School,Seaford,5169,Primary Education,5,-35.191836,138.474624
964,Modbury High School,Modbury,5092,Secondary Education,6,-34.836789,138.697008
272,Modbury School Preschool to Year 7,Modbury North,5092,Primary Education,4,-34.825869,138.69228
1047,Modbury South Primary School,Hope Valley,5090,Primary Education,5,-34.840321,138.697193
1405,Modbury Special School,Hope Valley,5090,Special Education,6,-34.840321,138.697193
1210,Modbury West School,Modbury,5092,Primary Education,5,-34.833194,138.676764
274,Monash Primary School,Monash,5342,Primary Education,5,-34.236306,140.559419
1488,Moonta Area School,Moonta,5558,Primary/Secondary Combined,2,-34.070885,137.59135
279,Moorak Primary School,Moorak,5291,Primary Education,5,-37.864704,140.73694
280,Moorook Primary School,Moorook,5332,Primary Education,4,-34.276231,140.351142
282,Morgan Primary School,Morgan,5320,Primary Education,3,-34.030239,139.670103
1188,Morphett Vale East School R-7,Morphett Vale,5162,Primary Education,4,-35.121601,138.530921
1906,Morphett Vale Primary School,Morphett Vale,5162,Primary Education,3,-35.107523,138.514358
783,Mount Barker High School,Mount Barker,5251,Secondary Education,4,-35.074991,138.85705
285,Mount Barker Primary School,Mount Barker,5251,Primary Education,5,-35.067641,138.853522
1539,Mount Barker South Primary School,Mount Barker,5251,Primary Education,4,-35.080093,138.859874
288,Mount Burr Primary School,Mount Burr,5279,Primary Education,3,-37.541193,140.4591
289,Mount Compass Area School,Mount Compass,5210,Primary/Secondary Combined,5,-35.350245,138.619809
784,Mount Gambier High School,Mount Gambier,5290,Secondary Education,5,-37.826147,140.765689
953,Mount Gambier North Primary School,Mount Gambier,5290,Primary Education,2,-37.81683,140.775534
293,Mount Pleasant Primary School,Mount Pleasant,5235,Primary Education,4,-34.774374,139.053842
1650,Mulga Street Primary School,Mount Gambier,5290,Primary Education,4,-37.811663,140.759988
297,Mundulla Primary School,Mundulla,5270,Primary Education,6,-36.357628,140.693069
1482,Munno Para Primary School,Munno Para,5115,Primary Education,2,-34.669727,138.699713
1859,Murputja Anangu School,Murputja Homelands,872,Aboriginal/Anangu Schools,1,-26.159352,130.183455
785,Murray Bridge High School,Murray Bridge,5253,Secondary Education,2,-35.135051,139.285294
299,Murray Bridge North School,Murray Bridge,5253,Primary Education,2,-35.115818,139.26955
950,Murray Bridge South Primary School,Murray Bridge,5253,Primary Education,1,-35.132254,139.282374
116,Murray Bridge Special School,Murray Bridge,5253,Special Education,3,-35.115818,139.26955
301,Mylor Primary School,Mylor,5153,Primary Education,7,-35.040998,138.760099
302,Mypolonga Primary School,Mypolonga,5254,Primary Education,4,-35.040591,139.357523
303,Myponga Primary School,Myponga,5202,Primary Education,5,-35.392678,138.464453
305,Nailsworth Primary School,Nailsworth,5083,Primary Education,6,-34.88242,138.603752
306,Nairne Primary School,Nairne,5252,Primary Education,6,-35.038365,138.903587
592,Nangwarry Primary School,Nangwarry,5277,Primary Education,2,-37.541501,140.818328
308,Napperby Primary School,Napperby,5540,Primary Education,3,-33.153613,138.113718
786,Naracoorte High School,Naracoorte,5271,Secondary Education,4,-36.948548,140.726873
309,Naracoorte Primary School,Naracoorte,5271,Primary Education,5,-36.951082,140.738119
936,Naracoorte South Primary School,Naracoorte,5271,Primary Education,5,-36.97269,140.746742
970,Newbery Park Primary School,Millicent,5280,Primary Education,4,-37.608624,140.363491
677,Nicolson Avenue Primary School,Whyalla Norrie,5608,Primary Education,4,-33.029095,137.549705
1068,Noarlunga Downs Primary School,Noarlunga Downs,5168,Primary Education,2,-35.150105,138.496303
179,North Adelaide Primary School,North Adelaide,5006,Primary Education,7,-34.905096,138.597558
1375,North Haven School,North Haven,5018,Primary Education,5,-34.790385,138.497563
1183,North Ingle School,Ingle Farm,5098,Primary Education,3,-34.819255,138.64517
1012,Northern Adelaide Senior College,Elizabeth,5112,Secondary Education,1,-34.713319,138.669144
314,Northfield Primary School,Northfield,5085,Primary Education,2,-34.848975,138.619862
316,Norton Summit Primary School,Norton Summit,5136,Primary Education,7,-34.927695,138.728837
787,Norwood Morialta High School,Magill,5072,Secondary Education,6,-34.918101,138.672233
131,Norwood Primary School,Norwood,5067,Primary Education,7,-34.918748,138.631451
788,Nuriootpa High School,Nuriootpa,5355,Secondary Education,6,-34.466434,139.000529
318,Nuriootpa Primary School,Nuriootpa,5355,Primary Education,5,-34.472908,139.001322
1009,Oak Valley Aboriginal School,Oak Valley,5690,Aboriginal/Anangu Schools,1,-29.402427,130.738295
762,Oakbank Area School,Oakbank,5243,Primary/Secondary Combined,5,-34.988726,138.837232
908,Ocean View P-12 College,Taperoo,5017,Primary/Secondary Combined,2,-34.804191,138.4954
313,Old Noarlunga Primary School,Old Noarlunga,5168,Primary Education,3,-35.182997,138.500633
322,One Tree Hill Primary School,One Tree Hill,5114,Primary Education,6,-34.713273,138.766521
324,Oodnadatta Aboriginal School,Oodnadatta,5734,Aboriginal/Anangu Schools,1,-27.548502,135.445814
849,Open Access College,Marden,5070,Primary/Secondary Combined,2,-34.891954,138.63523
740,Orroroo Area School,Orroroo,5431,Primary/Secondary Combined,4,-32.728505,138.612211
1060,O'Sullivan Beach Primary School,O'Sullivan Beach,5166,Primary Education,2,-35.125399,138.479637
325,Owen Primary School,Owen,5460,Primary Education,3,-34.271694,138.542951
593,Padthaway Primary School,Padthaway,5271,Primary Education,5,-36.593103,140.496881
326,Palmer Primary School,Palmer,5237,Primary Education,3,-34.853574,139.161721
574,Para Hills High School,Para Hills West,5096,Secondary Education,3,-34.799266,138.650711
935,Para Hills School P-7,Para Hills,5096,Primary Education,3,-34.812358,138.653129
1045,Para Hills West Primary School,Para Hills West,5096,Primary Education,3,-34.800635,138.652771
1048,Para Vista Primary School,Para Vista,5093,Primary Education,4,-34.830178,138.662895
327,Paracombe Primary School,Paracombe,5132,Primary Education,7,-34.851674,138.781984
973,Paradise Primary School,Paradise,5075,Primary Education,6,-34.870802,138.68457
1137,Parafield Gardens High School,Parafield Gardens,5107,Secondary Education,3,-34.786022,138.618914
537,Parafield Gardens R-7 School,Parafield Gardens,5107,Primary Education,2,-34.785192,138.616383
1099,Paralowie School,Paralowie,5108,Primary/Secondary Combined,2,-34.753384,138.621393
668,Paringa Park Primary School,North Brighton,5048,Primary Education,7,-35.002543,138.525628
328,Parkside Primary School,Parkside,5063,Primary Education,7,-34.944657,138.620087
337,Pennington School R-7,Pennington,5013,Primary Education,2,-34.857424,138.53236
931,Penola High School,Penola,5277,Secondary Education,4,-37.373662,140.843789
763,Penola Primary School,Penola,5277,Primary Education,6,-37.379147,140.833229
338,Penong Primary School,Penong,5690,Primary Education,2,-31.928614,133.005406
789,Peterborough High School,Peterborough,5422,Secondary Education,2,-32.9787,138.836212
339,Peterborough Primary School,Peterborough,5422,Primary Education,2,-32.971085,138.832375
1059,Pimpala Primary School,Morphett Vale,5162,Primary Education,3,-35.112846,138.530333
764,Pinnaroo Primary School,Pinnaroo,5304,Primary Education,5,-35.255862,140.907922
1526,Pipalyatjara Anangu School,Pipalyatjara,872,Aboriginal/Anangu Schools,1,-26.162549,129.172118
910,Playford International College,Elizabeth,5112,Secondary Education,2,-34.723738,138.665902
1879,Playford Primary School,Craigmore,5114,Primary Education,5,-34.689694,138.712988
907,Plympton International College,Plympton,5038,Primary/Secondary Combined,5,-34.964442,138.547829
346,Plympton Primary School,Plympton,5038,Primary Education,6,-34.9612,138.556819
351,Poonindie Community Learning Centre,Poonindie,5607,Primary Education,4,-34.580807,135.881095
352,Pooraka Primary School,Pooraka,5095,Primary Education,3,-34.833519,138.613108
790,Port Augusta Secondary School,Port Augusta,5700,Secondary Education,2,-32.493756,137.768758
1399,Port Augusta Special School,Port Augusta West,5700,Special Education,2,-32.47275,137.752157
355,Port Augusta West Primary School,Port Augusta West,5700,Primary Education,3,-32.483205,137.754202
741,Port Broughton Area School,Port Broughton,5522,Primary/Secondary Combined,5,-33.604039,137.933111
356,Port Elliot Primary School,Port Elliot,5212,Primary Education,5,-35.523024,138.677243
791,Port Lincoln High School,Port Lincoln,5606,Secondary Education,3,-34.723847,135.853942
1277,Port Lincoln Junior Primary School,Port Lincoln,5606,Primary Education,4,-34.724303,135.857806
359,Port Lincoln Primary School,Port Lincoln,5606,Primary Education,4,-34.723909,135.857158
1801,Port Lincoln Special School,Port Lincoln,5606,Special Education,4,-34.741941,135.846117
361,Port Neill Primary School,Port Neill,5604,Primary Education,5,-34.116548,136.342001
362,Port Noarlunga Primary School,Port Noarlunga,5167,Primary Education,5,-35.143866,138.473063
363,Port Pirie West Primary School,Port Pirie,5540,Primary Education,2,-33.181868,138.002596
366,Port Wakefield Primary School,Port Wakefield,5550,Primary Education,3,-34.187379,138.149302
570,Prospect North Primary School,Prospect,5082,Primary Education,3,-34.874886,138.597054
368,Prospect Primary School,Prospect,5082,Primary Education,6,-34.884916,138.59012
793,Quorn Area School,Quorn,5433,Primary/Secondary Combined,2,-32.348904,138.036572
372,Ramco Primary School,Ramco,5322,Primary Education,4,-34.169777,139.933102
650,Rapid Bay Primary School,Rapid Bay,5204,Primary Education,5,-35.526676,138.193855
845,Raukkan Aboriginal School,Raukkan,5259,Aboriginal/Anangu Schools,1,-35.508057,139.131714
1090,Redwood Park Primary School,Redwood Park,5097,Primary Education,7,-34.815018,138.701072
290,Reidy Park Primary School,Mount Gambier,5290,Primary Education,6,-37.834544,140.771765
375,Rendelsham Primary School,Rendelsham,5280,Primary Education,6,-37.551353,140.225103
794,Renmark High School,Renmark,5341,Secondary Education,4,-34.172088,140.741263
377,Renmark North Primary School,Renmark North,5341,Primary Education,5,-34.126337,140.711551
376,Renmark Primary School,Renmark,5341,Primary Education,2,-34.172644,140.74104
378,Renmark West Primary School,Renmark,5341,Primary Education,5,-34.166218,140.710298
1907,Reynella East College,Reynella East,5161,Primary/Secondary Combined,5,-35.09071,138.555575
379,Reynella Primary School,Old Reynella,5161,Primary Education,6,-35.100928,138.537502
1044,Reynella South Primary School,Reynella,5161,Primary Education,4,-35.103687,138.524457
381,Richmond Primary School,Keswick,5035,Primary Education,5,-34.943391,138.571798
1051,Ridgehaven Primary School,Ridgehaven,5097,Primary Education,6,-34.817997,138.710257
685,Risdon Park Primary School,Port Pirie,5540,Primary Education,4,-33.203247,138.008071
1427,Riverdale Primary School,Salisbury Downs,5108,Primary Education,4,-34.766448,138.613754
962,Riverland Special School,Berri,5343,Special Education,4,-34.279428,140.61035
795,Riverton and District High School,Riverton,5412,Secondary Education,4,-34.156173,138.749643
383,Riverton Primary School,Riverton,5412,Primary Education,5,-34.15606,138.744199
384,Robe Primary School,Robe,5276,Primary Education,5,-37.163742,139.761639
385,Robertstown Primary School,Robertstown,5381,Primary Education,5,-33.989691,139.084056
1902,Roma Mitchell Secondary College,Gepps Cross,5094,Secondary Education,2,-34.843058,138.618235
169,Rose Park Primary School,Rose Park,5067,Primary Education,7,-34.93161,138.628893
387,Roseworthy Primary School,Roseworthy,5371,Primary Education,6,-34.53392,138.748218
1817,Roxby Downs Area School,Roxby Downs,5725,Primary/Secondary Combined,7,-30.560299,136.897084
1014,SA School for Vision Impaired,Park Holme,5043,Special Education,6,-34.991009,138.5549
389,Saddleworth Primary School,Saddleworth,5413,Primary Education,3,-34.084411,138.784802
1194,Salisbury Downs Primary School,Salisbury Downs,5108,Primary Education,3,-34.771193,138.622667
1011,Salisbury East High School,Salisbury East,5109,Secondary Education,4,-34.775903,138.667185
1177,Salisbury Heights Primary School,Salisbury Heights,5109,Primary Education,5,-34.758984,138.678709
892,Salisbury High School,Salisbury North,5108,Secondary Education,2,-34.755983,138.640772
664,Salisbury North R-7 School,Salisbury North,5108,Primary Education,2,-34.753217,138.63533
1140,Salisbury Park Primary School,Salisbury Park,5109,Primary Education,4,-34.759701,138.668718
