School Number,School Name,Suburb,Post code,Type of Schooling,Index of Educational Disadvantage,Latitude,Longitude
475,Westbourne Park Primary School,Westbourne Park,5041,Primary Education,7,-34.969224,138.591941
1203,Westport Primary School,Semaphore Park,5019,Primary Education,2,-34.855007,138.491158
822,Whyalla High School,Whyalla,5600,Secondary Education,3,-33.038453,137.58087
559,Whyalla Special Education Centre,Whyalla Norrie,5608,Special Education,2,-33.029959,137.548577
625,Whyalla Stuart Campus R-7,Whyalla Stuart,5608,Primary Education,1,-33.015064,137.517105
478,Whyalla Town Primary School,Whyalla,5600,Primary Education,5,-33.036609,137.585025
482,Williamstown Primary School,Williamstown,5351,Primary Education,6,-34.667865,138.890446
679,Willsden Primary School,Port Augusta,5700,Primary Education,1,-32.506303,137.780351
909,Willunga High School,Willunga,5172,Secondary Education,4,-35.263056,138.555471
744,Willunga Primary School,Willunga,5172,Primary Education,6,-35.269384,138.552628
483,Wilmington Primary School,Wilmington,5485,Primary Education,5,-32.651173,138.101868
638,Wirreanda Secondary School,Morphett Vale,5162,Secondary Education,3,-35.127607,138.533815
1776,Woodcroft Primary School,Woodcroft,5162,Primary Education,6,-35.10505,138.556331
1056,Woodend Primary School,Sheidow Park,5158,Primary Education,7,-35.079379,138.533847
495,Woodside Primary School,Woodside,5244,Primary Education,6,-34.952342,138.879672
1904,Woodville Gardens School B-7,Woodville Gardens,5012,Primary Education,2,-34.863319,138.55068
801,Woodville High School,St Clair,5011,Secondary Education,2,-34.872943,138.540808
497,Woodville Primary School,Woodville South,5011,Primary Education,4,-34.880569,138.532716
746,Woomera Area School,Woomera,5720,Primary/Secondary Combined,5,-31.197164,136.825489
765,Wudinna Area School,Wudinna,5652,Primary/Secondary Combined,5,-33.044622,135.462876
533,Wynn Vale R-7 School,Wynn Vale,5127,Primary Education,6,-34.800674,138.687256
501,Yahl Primary School,Yahl,5291,Primary Education,5,-37.879293,140.832014
999,Yalata Anangu School,Yalata,5690,Aboriginal/Anangu Schools,1,-31.480012,131.843548
766,Yankalilla Area School,Yankalilla,5203,Primary/Secondary Combined,4,-35.4533,138.333092
767,Yorketown Area School,Yorketown,5576,Primary/Secondary Combined,4,-35.015376,137.615442
195,Youth Education Centre,Cavan,5094,Secondary Education,1,-34.828265,138.60253
