Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,No. of confirmed- probable and suspected cases,No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,No. of confirmed-probable and suspected deaths
Mali,31/10/2014,0,0,1,1,0,0,1,1
Liberia,31/10/2014,2480,1540,2515,6535,0,0,0,2413
Sierra Leone,31/10/2014,1238,322,3778,5338,0,0,0,1510
Spain,5/11/2014,0,0,1,1,0,0,0,0
United States of America,5/11/2014,0,0,4,4,0,0,1,1
Guinea,5/11/2014,70,204,1457,1731,0,204,837,1041
Liberia,5/11/2014,2447,1627,2451,6525,0,0,0,2697
Mali,5/11/2014,0,0,1,1,0,0,1,1
Nigeria,5/11/2014,0,1,19,20,0,1,7,8
Senegal,5/11/2014,0,0,1,1,0,0,0,0
Sierra Leone,5/11/2014,623,79,4057,4759,35,142,893,1070
Nigeria,7/11/2014,0,1,19,20,0,1,7,8
Guinea,7/11/2014,77,204,1479,1760,0,204,850,1054
United States of America,7/11/2014,0,0,4,4,0,0,1,1
Senegal,7/11/2014,0,0,1,1,0,0,0,0
Liberia,7/11/2014,2476,1629,2514,6619,0,0,0,2766
Spain,7/11/2014,0,0,1,1,0,0,0,0
Mali,7/11/2014,0,0,1,1,0,0,1,1
Sierra Leone,7/11/2014,634,79,4149,4862,35,174,921,1130
Spain,12/11/2014,0,0,1,1,0,0,0,0
United States of America,12/11/2014,0,0,4,4,0,0,1,1
Mali,12/11/2014,0,2,2,4,0,2,2,4
Nigeria,12/11/2014,0,1,19,20,0,1,7,8
Guinea,12/11/2014,58,208,1612,1878,0,208,934,1142
Sierra Leone,12/11/2014,766,79,4523,5368,35,174,960,1169
Liberia,12/11/2014,2582,1687,2553,6822,0,0,0,2836
Senegal,12/11/2014,0,0,1,1,0,0,0,0
Senegal,14/11/2014,0,0,1,1,0,0,0,0
Guinea,14/11/2014,64,208,1647,1919,0,208,958,1166
Spain,14/11/2014,0,0,1,1,0,0,0,0
Nigeria,14/11/2014,0,1,19,20,0,1,7,8
Mali,14/11/2014,0,1,3,4,0,0,0,3
United States of America,14/11/2014,0,0,4,4,0,0,1,1
Liberia,14/11/2014,2600,1716,2562,6878,0,0,0,2812
Sierra Leone,14/11/2014,824,79,4683,5586,35,174,978,1187
Liberia,19/11/2014,2664,1762,2643,7069,0,0,0,2964
Spain,19/11/2014,0,0,1,1,0,0,0,0
Sierra Leone,19/11/2014,938,79,5056,6073,35,174,1041,1250
Senegal,19/11/2014,0,0,1,1,0,0,0,0
Nigeria,19/11/2014,0,1,19,20,0,1,7,8
