Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,No. of confirmed- probable and suspected cases,No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,No. of confirmed-probable and suspected deaths
Nigeria,4/02/2015,0,1,19,20,0,1,7,8
United States of America,4/02/2015,0,0,4,4,0,0,1,1
United Kingdom,5/02/2015,0,0,1,1,0,0,0,0
United States of America,5/02/2015,0,0,4,4,0,0,1,1
Mali,5/02/2015,0,1,7,8,0,0,0,6
Guinea,5/02/2015,18,347,2621,2986,0,347,1600,1947
Sierra Leone,5/02/2015,2406,287,8063,10756,158,208,2920,3286
Nigeria,5/02/2015,0,1,19,20,0,1,7,8
Liberia,5/02/2015,3732,1870,3143,8745,0,0,0,3746
Senegal,5/02/2015,0,0,1,1,0,0,0,0
Spain,5/02/2015,0,0,1,1,0,0,0,0
Nigeria,6/02/2015,0,1,19,20,0,1,7,8
Mali,6/02/2015,0,1,7,8,0,0,0,6
Spain,6/02/2015,0,0,1,1,0,0,0,0
Senegal,6/02/2015,0,0,1,1,0,0,0,0
Sierra Leone,6/02/2015,2421,287,8084,10792,158,208,2935,3301
Liberia,6/02/2015,3732,1870,3143,8745,0,0,0,3746
United States of America,6/02/2015,0,0,4,4,0,0,1,1
United Kingdom,6/02/2015,0,0,1,1,0,0,0,0
Guinea,6/02/2015,11,349,2628,2988,0,349,1608,1957
Guinea,10/02/2015,18,352,2674,3044,0,352,1643,1995
Spain,10/02/2015,0,0,1,1,0,0,0,0
Mali,10/02/2015,0,1,7,8,0,0,0,6
United States of America,10/02/2015,0,0,4,4,0,0,1,1
Liberia,10/02/2015,3862,1873,3146,8881,0,0,3826,3826
Senegal,10/02/2015,0,0,1,1,0,0,0,0
Sierra Leone,10/02/2015,2512,287,8135,10934,158,208,2975,3341
United Kingdom,10/02/2015,0,0,1,1,0,0,0,0
Nigeria,10/02/2015,0,1,19,20,0,1,7,8
United States of America,11/02/2015,0,0,4,4,0,0,1,1
Nigeria,11/02/2015,0,1,19,20,0,1,7,8
Sierra Leone,11/02/2015,2512,287,8135,10934,158,208,2975,3341
Guinea,11/02/2015,18,352,2674,3044,0,352,1643,1995
Senegal,11/02/2015,0,0,1,1,0,0,0,0
Liberia,11/02/2015,3862,1873,3146,8881,0,0,3826,3826
Mali,11/02/2015,0,1,7,8,0,0,0,6
Spain,11/02/2015,0,0,1,1,0,0,0,0
United Kingdom,11/02/2015,0,0,1,1,0,0,0,0
Guinea,12/02/2015,16,367,2685,3068,0,367,1651,2018
Sierra Leone,12/02/2015,2529,287,8138,10954,158,208,2984,3350
Liberia,12/02/2015,3862,1873,3146,8881,0,0,3826,3826
Nigeria,12/02/2015,0,1,19,20,0,1,7,8
United Kingdom,12/02/2015,0,0,1,1,0,0,0,0
Mali,12/02/2015,0,1,7,8,0,0,0,6
Senegal,12/02/2015,0,0,1,1,0,0,0,0
Spain,12/02/2015,0,0,1,1,0,0,0,0
United States of America,12/02/2015,0,0,4,4,0,0,1,1
Sierra Leone,13/02/2015,2545,287,8155,10987,158,208,2997,3363
Senegal,13/02/2015,0,0,1,1,0,0,0,0
Spain,13/02/2015,0,0,1,1,0,0,0,0
Mali,13/02/2015,0,1,7,8,0,0,0,6
Guinea,13/02/2015,15,373,2693,3081,0,373,1659,2032
United Kingdom,13/02/2015,0,0,1,1,0,0,0,0
United States of America,13/02/2015,0,0,4,4,0,0,1,1
Liberia,13/02/2015,3908,1876,3147,8931,0,0,3858,3858
Nigeria,13/02/2015,0,1,19,20,0,1,7,8
Liberia,16/02/2015,3982,1876,3149,9007,0,0,0,3900
United States of America,16/02/2015,0,0,4,4,0,0,1,1
Mali,16/02/2015,0,1,7,8,0,0,0,6
United Kingdom,16/02/2015,0,0,1,1,0,0,0,0
Guinea,16/02/2015,7,374,2720,3101,0,374,1678,2052
Senegal,16/02/2015,0,0,1,1,0,0,0,0
Spain,16/02/2015,0,0,1,1,0,0,0,0
Sierra Leone,16/02/2015,2588,287,8199,11074,158,208,3035,3401
Nigeria,16/02/2015,0,1,19,20,0,1,7,8
Nigeria,17/02/2015,0,1,19,20,0,1,7,8
Liberia,17/02/2015,3982,1876,3149,9007,0,0,0,3900
United States of America,17/02/2015,0,0,4,4,0,0,1,1
Guinea,17/02/2015,7,374,2727,3108,0,374,1683,2057
Sierra Leone,17/02/2015,2604,287,8212,11103,158,208,3042,3408
Spain,17/02/2015,0,0,1,1,0,0,0,0
Mali,17/02/2015,0,1,7,8,0,0,0,6
United Kingdom,17/02/2015,0,0,1,1,0,0,0,0
Senegal,17/02/2015,0,0,1,1,0,0,0,0
Sierra Leone,18/02/2015,2604,287,8212,11103,158,208,3042,3408
United Kingdom,18/02/2015,0,0,1,1,0,0,0,0
Nigeria,18/02/2015,0,1,19,20,0,1,7,8
Spain,18/02/2015,0,0,1,1,0,0,0,0
Mali,18/02/2015,0,1,7,8,0,0,0,6
Liberia,18/02/2015,3982,1876,3149,9007,0,0,0,3900
Senegal,18/02/2015,0,0,1,1,0,0,0,0
Guinea,18/02/2015,7,374,2727,3108,0,374,1683,2057
United States of America,18/02/2015,0,0,4,4,0,0,1,1
Nigeria,19/02/2015,0,1,19,20,0,1,7,8
United States of America,19/02/2015,0,0,4,4,0,0,1,1
Liberia,19/02/2015,4062,1882,3152,9096,0,0,0,3947
Senegal,19/02/2015,0,0,1,1,0,0,0,0
Sierra Leone,19/02/2015,2645,287,8223,11155,158,208,3057,3423
Spain,19/02/2015,0,0,1,1,0,0,0,0
Mali,19/02/2015,0,1,7,8,0,0,0,6
Guinea,19/02/2015,2,381,2732,3115,0,381,1686,2067
United Kingdom,19/02/2015,0,0,1,1,0,0,0,0
United Kingdom,20/02/2015,0,0,1,1,0,0,0,0
Liberia,20/02/2015,4062,1882,3152,9096,0,0,0,3947
Guinea,20/02/2015,2,384,2734,3120,0,384,1688,2072
United States of America,20/02/2015,0,0,4,4,0,0,1,1
Nigeria,20/02/2015,0,1,19,20,0,1,7,8
Sierra Leone,20/02/2015,2645,287,8223,11155,158,208,3057,3423
Mali,20/02/2015,0,1,7,8,0,0,0,6
Spain,20/02/2015,0,0,1,1,0,0,0,0
Senegal,20/02/2015,0,0,1,1,0,0,0,0
Liberia,23/02/2015,4188,1888,3153,9229,0,0,0,4032
Senegal,23/02/2015,0,0,1,1,0,0,0,0
Spain,23/02/2015,0,0,1,1,0,0,0,0
United Kingdom,23/02/2015,0,0,1,1,0,0,0,0
Mali,23/02/2015,0,1,7,8,0,0,0,6
Sierra Leone,23/02/2015,2645,287,8223,11155,158,208,3057,3423
Nigeria,23/02/2015,0,1,19,20,0,1,7,8
Guinea,23/02/2015,10,387,2758,3155,0,387,1699,2086
United States of America,23/02/2015,0,0,4,4,0,0,1,1
United Kingdom,25/02/2015,0,0,1,1,0,0,0,0
Sierra Leone,25/02/2015,2725,287,8289,11301,158,208,3095,3461
Liberia,25/02/2015,4197,1888,3153,9238,0,0,0,4037
Nigeria,25/02/2015,0,1,19,20,0,1,7,8
Mali,25/02/2015,0,1,7,8,0,0,0,6
United States of America,25/02/2015,0,0,4,4,0,0,1,1
Guinea,25/02/2015,6,387,2762,3155,0,387,1704,2091
Senegal,25/02/2015,0,0,1,1,0,0,0,0
Spain,25/02/2015,0,0,1,1,0,0,0,0
Mali,26/02/2015,0,1,7,8,0,0,0,6
Senegal,26/02/2015,0,0,1,1,0,0,0,0
Guinea,26/02/2015,7,387,2781,3175,0,387,1714,2101
Sierra Leone,26/02/2015,2746,287,8308,11341,158,208,3113,3479
United Kingdom,26/02/2015,0,0,1,1,0,0,0,0
United States of America,26/02/2015,0,0,4,4,0,0,1,1
Liberia,26/02/2015,4224,1888,3153,9265,0,0,0,4057
Nigeria,26/02/2015,0,1,19,20,0,1,7,8
Spain,26/02/2015,0,0,1,1,0,0,0,0
Sierra Leone,27/02/2015,2763,287,8320,11370,158,208,3124,3490
Mali,27/02/2015,0,1,7,8,0,0,0,6
Nigeria,27/02/2015,0,1,19,20,0,1,7,8
United States of America,27/02/2015,0,0,4,4,0,0,1,1
Guinea,27/02/2015,8,392,2790,3190,0,392,1721,2113
United Kingdom,27/02/2015,0,0,1,1,0,0,0,0
Senegal,27/02/2015,0,0,1,1,0,0,0,0
Spain,27/02/2015,0,0,1,1,0,0,0,0
Liberia,27/02/2015,4224,1888,3153,9265,0,0,0,4057
Guinea,2/03/2015,5,392,2808,3205,0,392,1735,2127
United Kingdom,2/03/2015,0,0,1,1,0,0,0,0
Sierra Leone,2/03/2015,2803,287,8353,11443,158,208,3164,3530
Spain,2/03/2015,0,0,1,1,0,0,0,0
Nigeria,2/03/2015,0,1,19,20,0,1,7,8
Mali,2/03/2015,0,1,7,8,0,0,0,6
Liberia,2/03/2015,4224,1888,3153,9265,0,0,0,4057
United States of America,2/03/2015,0,0,4,4,0,0,1,1
Senegal,2/03/2015,0,0,1,1,0,0,0,0
Liberia,4/03/2015,4224,1888,3153,9265,0,0,0,4057
Nigeria,4/03/2015,0,1,19,20,0,1,7,8
Senegal,4/03/2015,0,0,1,1,0,0,0,0
United States of America,4/03/2015,0,0,4,4,0,0,1,1
Mali,4/03/2015,0,1,7,8,0,0,0,6
Spain,4/03/2015,0,0,1,1,0,0,0,0
Sierra Leone,4/03/2015,2803,287,8353,11443,158,208,3164,3530
Guinea,4/03/2015,5,392,2808,3205,0,392,1735,2127
United Kingdom,4/03/2015,0,0,1,1,0,0,0,0
Nigeria,5/03/2015,0,1,19,20,0,1,7,8
United Kingdom,5/03/2015,0,0,1,1,0,0,0,0
Guinea,5/03/2015,12,392,2833,3237,0,392,1749,2141
Spain,5/03/2015,0,0,1,1,0,0,0,0
Liberia,5/03/2015,4222,1877,3150,9249,0,0,0,4117
Senegal,5/03/2015,0,0,1,1,0,0,0,0
Mali,5/03/2015,0,1,7,8,0,0,0,6
Sierra Leone,5/03/2015,2827,287,8383,11497,158,208,3199,3565
United States of America,5/03/2015,0,0,4,4,0,0,1,1
United States of America,6/03/2015,0,0,4,4,0,0,1,1
Mali,6/03/2015,0,1,7,8,0,0,0,6
Nigeria,6/03/2015,0,1,19,20,0,1,7,8
Liberia,6/03/2015,4222,1877,3150,9249,0,0,0,4117
Sierra Leone,6/03/2015,2841,287,8389,11517,158,208,3210,3576
Guinea,6/03/2015,16,392,2840,3248,0,392,1755,2147
Spain,6/03/2015,0,0,1,1,0,0,0,0
Senegal,6/03/2015,0,0,1,1,0,0,0,0
United Kingdom,6/03/2015,0,0,1,1,0,0,0,0
Guinea,10/03/2015,22,392,2871,3285,0,392,1778,2170
Mali,10/03/2015,0,1,7,8,0,0,0,6
Sierra Leone,10/03/2015,2904,287,8428,11619,158,208,3263,3629
Spain,10/03/2015,0,0,1,1,0,0,0,0
United States of America,10/03/2015,0,0,4,4,0,0,1,1
United Kingdom,10/03/2015,0,0,1,1,0,0,0,0
Liberia,10/03/2015,4314,1879,3150,9343,0,0,0,4162
Senegal,10/03/2015,0,0,1,1,0,0,0,0
Nigeria,10/03/2015,0,1,19,20,0,1,7,8
Guinea,11/03/2015,22,392,2871,3285,0,392,1778,2170
United States of America,11/03/2015,0,0,4,4,0,0,1,1
United Kingdom,11/03/2015,0,0,1,1,0,0,0,0
Mali,11/03/2015,0,1,7,8,0,0,0,6
Senegal,11/03/2015,0,0,1,1,0,0,0,0
Nigeria,11/03/2015,0,1,19,20,0,1,7,8
Liberia,11/03/2015,4314,1879,3150,9343,0,0,0,4162
Spain,11/03/2015,0,0,1,1,0,0,0,0
Sierra Leone,11/03/2015,2904,287,8428,11619,158,208,3263,3629
Nigeria,12/03/2015,0,1,19,20,0,1,7,8
Spain,12/03/2015,0,0,1,1,0,0,0,0
United Kingdom,12/03/2015,0,0,1,1,0,0,0,0
United States of America,12/03/2015,0,0,4,4,0,0,1,1
Sierra Leone,12/03/2015,2927,287,8463,11677,158,208,3289,3655
Liberia,12/03/2015,4314,1879,3150,9343,0,0,0,4162
Guinea,12/03/2015,34,395,2901,3330,0,395,1792,2187
Senegal,12/03/2015,0,0,1,1,0,0,0,0
Mali,12/03/2015,0,1,7,8,0,0,0,6
Spain,13/03/2015,0,0,1,1,0,0,0,0
Liberia,13/03/2015,4453,1879,3150,9482,0,0,0,4241
Sierra Leone,13/03/2015,2940,287,8469,11696,158,208,3297,3663
United States of America,13/03/2015,0,0,4,4,0,0,1,1
Guinea,13/03/2015,25,395,2911,3331,0,395,1797,2192
United Kingdom,13/03/2015,0,0,1,1,0,0,0,0
Nigeria,13/03/2015,0,1,19,20,0,1,7,8
Senegal,13/03/2015,0,0,1,1,0,0,0,0
Mali,13/03/2015,0,1,7,8,0,0,0,6
Mali,16/03/2015,0,1,7,8,0,0,0,6
Guinea,16/03/2015,21,395,2957,3373,0,395,1821,2216
Sierra Leone,16/03/2015,2971,287,8484,11742,158,208,3321,3687
Senegal,16/03/2015,0,0,1,1,0,0,0,0
Nigeria,16/03/2015,0,1,19,20,0,1,7,8
Spain,16/03/2015,0,0,1,1,0,0,0,0
United States of America,16/03/2015,0,0,4,4,0,0,1,1
Liberia,16/03/2015,4453,1879,3150,9482,0,0,0,4241
United Kingdom,16/03/2015,0,0,1,1,0,0,0,0
Guinea,17/03/2015,28,395,2966,3389,0,395,1829,2224
Mali,17/03/2015,0,1,7,8,0,0,0,6
Nigeria,17/03/2015,0,1,19,20,0,1,7,8
Senegal,17/03/2015,0,0,1,1,0,0,0,0
Sierra Leone,17/03/2015,2977,287,8487,11751,158,208,3325,3691
Liberia,17/03/2015,4497,1879,3150,9526,0,0,0,4264
Spain,17/03/2015,0,0,1,1,0,0,0,0
United Kingdom,17/03/2015,0,0,1,1,0,0,0,0
United States of America,17/03/2015,0,0,4,4,0,0,1,1
Liberia,18/03/2015,4497,1879,3150,9526,0,0,0,4264
Sierra Leone,18/03/2015,2977,287,8487,11751,158,208,3325,3691
Spain,18/03/2015,0,0,1,1,0,0,0,0
Guinea,18/03/2015,28,395,2966,3389,0,395,1829,2224
United Kingdom,18/03/2015,0,0,1,1,0,0,0,0
Nigeria,18/03/2015,0,1,19,20,0,1,7,8
Senegal,18/03/2015,0,0,1,1,0,0,0,0
Mali,18/03/2015,0,1,7,8,0,0,0,6
United States of America,18/03/2015,0,0,4,4,0,0,1,1
United Kingdom,20/03/2015,0,0,1,1,0,0,0,0
Guinea,20/03/2015,21,395,2988,3404,0,395,1846,2241
Sierra Leone,20/03/2015,2999,287,8508,11794,158,208,3346,3712
United States of America,20/03/2015,0,0,4,4,0,0,1,1
Nigeria,20/03/2015,0,1,19,20,0,1,7,8
Senegal,20/03/2015,0,0,1,1,0,0,0,0
Spain,20/03/2015,0,0,1,1,0,0,0,0
Mali,20/03/2015,0,1,7,8,0,0,0,6
Liberia,20/03/2015,4526,1879,3150,9555,0,0,0,4283
United States of America,23/03/2015,0,0,4,4,0,0,1,1
Senegal,23/03/2015,0,0,1,1,0,0,0,0
Liberia,23/03/2015,4563,1879,3151,9593,0,0,0,4296
Mali,23/03/2015,0,1,7,8,0,0,0,6
Sierra Leone,23/03/2015,3024,287,8518,11829,158,208,3376,3742
United Kingdom,23/03/2015,0,0,1,1,0,0,0,0
Guinea,23/03/2015,15,398,3007,3420,0,398,1863,2261
Spain,23/03/2015,0,0,1,1,0,0,0,0
Nigeria,23/03/2015,0,1,19,20,0,1,7,8
Senegal,24/03/2015,0,0,1,1,0,0,0,0
Sierra Leone,24/03/2015,3034,287,8520,11841,158,208,3381,3747
Guinea,24/03/2015,20,398,3011,3429,0,398,1865,2263
Spain,24/03/2015,0,0,1,1,0,0,0,0
Nigeria,24/03/2015,0,1,19,20,0,1,7,8
Mali,24/03/2015,0,1,7,8,0,0,0,6
United Kingdom,24/03/2015,0,0,1,1,0,0,0,0
United States of America,24/03/2015,0,0,4,4,0,0,1,1
Liberia,24/03/2015,4572,1879,3151,9602,0,0,0,4301
Senegal,25/03/2015,0,0,1,1,0,0,0,0
Liberia,25/03/2015,4572,1879,3151,9602,0,0,0,4301
Spain,25/03/2015,0,0,1,1,0,0,0,0
Mali,25/03/2015,0,1,7,8,0,0,0,6
Sierra Leone,25/03/2015,3034,287,8520,11841,158,208,3381,3747
United Kingdom,25/03/2015,0,0,1,1,0,0,0,0
Guinea,25/03/2015,20,398,3011,3429,0,398,1865,2263
Nigeria,25/03/2015,0,1,19,20,0,1,7,8
United States of America,25/03/2015,0,0,4,4,0,0,1,1
Spain,26/03/2015,0,0,1,1,0,0,0,0
Guinea,26/03/2015,29,398,3032,3459,0,398,1875,2273
Senegal,26/03/2015,0,0,1,1,0,0,0,0
Sierra Leone,26/03/2015,3050,287,8529,11866,158,208,3398,3764
Liberia,26/03/2015,4572,1879,3151,9602,0,0,0,4301
Mali,26/03/2015,0,1,7,8,0,0,0,6
Nigeria,26/03/2015,0,1,19,20,0,1,7,8
United Kingdom,26/03/2015,0,0,1,1,0,0,0,0
United States of America,26/03/2015,0,0,4,4,0,0,1,1
Liberia,27/03/2015,4572,1879,3151,9602,0,0,0,4301
Spain,27/03/2015,0,0,1,1,0,0,0,0
Mali,27/03/2015,0,1,7,8,0,0,0,6
Nigeria,27/03/2015,0,1,19,20,0,1,7,8
Senegal,27/03/2015,0,0,1,1,0,0,0,0
United Kingdom,27/03/2015,0,0,1,1,0,0,0,0
United States of America,27/03/2015,0,0,4,4,0,0,1,1
Guinea,27/03/2015,26,398,3042,3466,0,398,1878,2276
Sierra Leone,27/03/2015,3070,287,8532,11889,158,208,3407,3773
Spain,7/04/2015,0,0,1,1,0,0,0,0
Mali,7/04/2015,0,1,7,8,0,0,0,6
Senegal,7/04/2015,0,0,1,1,0,0,0,0
Nigeria,7/04/2015,0,1,19,20,0,1,7,8
Guinea,7/04/2015,12,414,3089,3515,0,414,1919,2333
United Kingdom,7/04/2015,0,0,1,1,0,0,0,0
Liberia,7/04/2015,4832,1879,3151,9862,0,0,0,4408
United States of America,7/04/2015,0,0,4,4,0,0,1,1
Sierra Leone,7/04/2015,3297,287,8555,12139,158,208,3466,3832
Liberia,9/04/2015,4832,1879,3151,9862,0,0,0,4408
United Kingdom,9/04/2015,0,0,1,1,0,0,0,0
United States of America,9/04/2015,0,0,4,4,0,0,1,1
Mali,9/04/2015,0,1,7,8,0,0,0,6
Senegal,9/04/2015,0,0,1,1,0,0,0,0
Spain,9/04/2015,0,0,1,1,0,0,0,0
Nigeria,9/04/2015,0,1,19,20,0,1,7,8
Guinea,9/04/2015,8,414,3093,3515,0,414,1921,2335
Sierra Leone,9/04/2015,3310,287,8558,12155,158,208,3475,3841
Sierra Leone,13/04/2015,3341,287,8560,12188,158,208,3488,3854
Senegal,13/04/2015,0,0,1,1,0,0,0,0
Liberia,13/04/2015,4832,1879,3151,9862,0,0,0,4408
Mali,13/04/2015,0,1,7,8,0,0,0,6
United States of America,13/04/2015,0,0,4,4,0,0,1,1
Nigeria,13/04/2015,0,1,19,20,0,1,7,8
Spain,13/04/2015,0,0,1,1,0,0,0,0
United Kingdom,13/04/2015,0,0,1,1,0,0,0,0
Guinea,13/04/2015,15,414,3112,3541,0,414,1928,2342
Sierra Leone,14/04/2015,3351,287,8563,12201,158,208,3491,3857
United Kingdom,14/04/2015,0,0,1,1,0,0,0,0
United States of America,14/04/2015,0,0,4,4,0,0,1,1
Nigeria,14/04/2015,0,1,19,20,0,1,7,8
Mali,14/04/2015,0,1,7,8,0,0,0,6
Guinea,14/04/2015,17,414,3117,3548,0,414,1932,2346
Liberia,14/04/2015,4832,1879,3151,9862,0,0,0,4408
Senegal,14/04/2015,0,0,1,1,0,0,0,0
Spain,14/04/2015,0,0,1,1,0,0,0,0
Mali,15/04/2015,0,1,7,8,0,0,0,6
Sierra Leone,15/04/2015,3351,287,8563,12201,158,208,3491,3857
Liberia,15/04/2015,5012,1879,3151,10042,0,0,0,4486
Senegal,15/04/2015,0,0,1,1,0,0,0,0
Guinea,15/04/2015,17,414,3117,3548,0,414,1932,2346
United States of America,15/04/2015,0,0,4,4,0,0,1,1
Spain,15/04/2015,0,0,1,1,0,0,0,0
Nigeria,15/04/2015,0,1,19,20,0,1,7,8
United Kingdom,15/04/2015,0,0,1,1,0,0,0,0
Spain,16/04/2015,0,0,1,1,0,0,0,0
United States of America,16/04/2015,0,0,4,4,0,0,1,1
Mali,16/04/2015,0,1,7,8,0,0,0,6
Sierra Leone,16/04/2015,3370,287,8566,12223,158,208,3499,3865
Nigeria,16/04/2015,0,1,19,20,0,1,7,8
United Kingdom,16/04/2015,0,0,1,1,0,0,0,0
Senegal,16/04/2015,0,0,1,1,0,0,0,0
Liberia,16/04/2015,5012,1879,3151,10042,0,0,0,4486
Guinea,16/04/2015,28,414,3124,3566,0,414,1934,2348
Guinea,17/04/2015,29,414,3126,3569,0,414,1937,2351
Nigeria,17/04/2015,0,1,19,20,0,1,7,8
United States of America,17/04/2015,0,0,4,4,0,0,1,1
United Kingdom,17/04/2015,0,0,1,1,0,0,0,0
Senegal,17/04/2015,0,0,1,1,0,0,0,0
Liberia,17/04/2015,5012,1879,3151,10042,0,0,0,4486
Spain,17/04/2015,0,0,1,1,0,0,0,0
Mali,17/04/2015,0,1,7,8,0,0,0,6
Sierra Leone,17/04/2015,3388,287,8569,12244,158,208,3499,3865
United Kingdom,20/04/2015,0,0,1,1,0,0,0,0
Mali,20/04/2015,0,1,7,8,0,0,0,6
Sierra Leone,20/04/2015,3397,287,8572,12256,158,208,3506,3872
Senegal,20/04/2015,0,0,1,1,0,0,0,0
Guinea,20/04/2015,17,415,3133,3565,0,415,1942,2357
Liberia,20/04/2015,5012,1879,3151,10042,0,0,0,4486
Nigeria,20/04/2015,0,1,19,20,0,1,7,8
Spain,20/04/2015,0,0,1,1,0,0,0,0
United States of America,20/04/2015,0,0,4,4,0,0,1,1
Spain,21/04/2015,0,0,1,1,0,0,0,0
Liberia,21/04/2015,5012,1879,3151,10042,0,0,0,4486
Nigeria,21/04/2015,0,1,19,20,0,1,7,8
Mali,21/04/2015,0,1,7,8,0,0,0,6
Senegal,21/04/2015,0,0,1,1,0,0,0,0
United States of America,21/04/2015,0,0,4,4,0,0,1,1
Guinea,21/04/2015,14,415,3136,3565,0,415,1943,2358
United Kingdom,21/04/2015,0,0,1,1,0,0,0,0
Sierra Leone,21/04/2015,3405,287,8573,12265,158,208,3511,3877
United Kingdom,22/04/2015,0,0,1,1,0,0,0,0
Spain,22/04/2015,0,0,1,1,0,0,0,0
Sierra Leone,22/04/2015,3405,287,8575,12267,158,208,3511,3877
Mali,22/04/2015,0,1,7,8,0,0,0,6
United States of America,22/04/2015,0,0,4,4,0,0,1,1
Guinea,22/04/2015,14,415,3136,3565,0,415,1943,2358
Senegal,22/04/2015,0,0,1,1,0,0,0,0
Liberia,22/04/2015,5182,1879,3151,10212,0,0,0,4573
Nigeria,22/04/2015,0,1,19,20,0,1,7,8
Mali,23/04/2015,0,1,7,8,0,0,0,6
United Kingdom,23/04/2015,0,0,1,1,0,0,0,0
Liberia,23/04/2015,5182,1879,3151,10212,0,0,0,4573
Guinea,23/04/2015,9,415,3144,3568,0,415,1947,2362
Nigeria,23/04/2015,0,1,19,20,0,1,7,8
Spain,23/04/2015,0,0,1,1,0,0,0,0
Sierra Leone,23/04/2015,3426,287,8581,12294,158,208,3519,3885
United States of America,23/04/2015,0,0,4,4,0,0,1,1
Senegal,23/04/2015,0,0,1,1,0,0,0,0
Spain,24/04/2015,0,0,1,1,0,0,0,0
United Kingdom,24/04/2015,0,0,1,1,0,0,0,0
Mali,24/04/2015,0,1,7,8,0,0,0,6
Nigeria,24/04/2015,0,1,19,20,0,1,7,8
United States of America,24/04/2015,0,0,4,4,0,0,1,1
Liberia,24/04/2015,5182,1879,3151,10212,0,0,0,4573
Guinea,24/04/2015,16,415,3145,3576,0,415,1950,2365
Sierra Leone,24/04/2015,3442,287,8584,12313,158,208,3520,3886
Senegal,24/04/2015,0,0,1,1,0,0,0,0
United Kingdom,27/04/2015,0,0,1,1,0,0,0,0
Spain,27/04/2015,0,0,1,1,0,0,0,0
Mali,27/04/2015,0,1,7,8,0,0,0,6
Liberia,27/04/2015,5182,1879,3151,10212,0,0,0,4573
Nigeria,27/04/2015,0,1,19,20,0,1,7,8
United States of America,27/04/2015,0,0,4,4,0,0,1,1
Sierra Leone,27/04/2015,3490,287,8585,12362,158,208,3529,3895
Guinea,27/04/2015,16,415,3154,3585,0,415,1959,2374
Senegal,27/04/2015,0,0,1,1,0,0,0,0
Sierra Leone,28/04/2015,3498,287,8586,12371,158,208,3533,3899
Nigeria,28/04/2015,0,1,19,20,0,1,7,8
Guinea,28/04/2015,11,415,3158,3584,0,415,1962,2377
Senegal,28/04/2015,0,0,1,1,0,0,0,0
United Kingdom,28/04/2015,0,0,1,1,0,0,0,0
Spain,28/04/2015,0,0,1,1,0,0,0,0
United States of America,28/04/2015,0,0,4,4,0,0,1,1
Liberia,28/04/2015,5292,1879,3151,10322,0,0,0,4608
Mali,28/04/2015,0,1,7,8,0,0,0,6
Senegal,30/04/2015,0,0,1,1,0,0,0,0
Guinea,30/04/2015,7,415,3159,3581,0,415,1966,2381
United States of America,30/04/2015,0,0,4,4,0,0,1,1
Spain,30/04/2015,0,0,1,1,0,0,0,0
United Kingdom,30/04/2015,0,0,1,1,0,0,0,0
Nigeria,30/04/2015,0,1,19,20,0,1,7,8
Mali,30/04/2015,0,1,7,8,0,0,0,6
Sierra Leone,30/04/2015,3512,287,8588,12387,158,208,3535,3901
Liberia,30/04/2015,5292,1879,3151,10322,0,0,0,4608
Sierra Leone,1/05/2015,3521,287,8590,12398,158,208,3535,3901
Mali,1/05/2015,0,1,7,8,0,0,0,6
Nigeria,1/05/2015,0,1,19,20,0,1,7,8
United States of America,1/05/2015,0,0,4,4,0,0,1,1
Guinea,1/05/2015,2,415,3161,3578,0,415,1968,2383
Senegal,1/05/2015,0,0,1,1,0,0,0,0
Liberia,1/05/2015,5292,1879,3151,10322,0,0,0,4608
United Kingdom,1/05/2015,0,0,1,1,0,0,0,0
Spain,1/05/2015,0,0,1,1,0,0,0,0
United Kingdom,4/05/2015,0,0,1,1,0,0,0,0
Sierra Leone,4/05/2015,3547,287,8592,12426,158,208,3536,3902
Liberia,4/05/2015,5292,1879,3151,10322,0,0,0,4608
Mali,4/05/2015,0,1,7,8,0,0,0,6
Nigeria,4/05/2015,0,1,19,20,0,1,7,8
United States of America,4/05/2015,0,0,4,4,0,0,1,1
Spain,4/05/2015,0,0,1,1,0,0,0,0
Senegal,4/05/2015,0,0,1,1,0,0,0,0
Guinea,4/05/2015,13,415,3163,3591,0,415,1970,2385
Mali,5/05/2015,0,1,7,8,0,0,0,6
Spain,5/05/2015,0,0,1,1,0,0,0,0
Liberia,5/05/2015,5477,1879,3151,10507,0,0,0,4691
United States of America,5/05/2015,0,0,4,4,0,0,1,1
Nigeria,5/05/2015,0,1,19,20,0,1,7,8
Sierra Leone,5/05/2015,3558,287,8595,12440,158,208,3537,3903
United Kingdom,5/05/2015,0,0,1,1,0,0,0,0
Senegal,5/05/2015,0,0,1,1,0,0,0,0
Guinea,5/05/2015,7,415,3167,3589,0,415,1971,2386
Guinea,6/05/2015,7,415,3167,3589,0,415,1971,2386
Liberia,6/05/2015,5534,1879,3151,10564,0,0,0,4716
United Kingdom,6/05/2015,0,0,1,1,0,0,0,0
Nigeria,6/05/2015,0,1,19,20,0,1,7,8
Mali,6/05/2015,0,1,7,8,0,0,0,6
United States of America,6/05/2015,0,0,4,4,0,0,1,1
Sierra Leone,6/05/2015,3558,287,8595,12440,158,208,3537,3903
Senegal,6/05/2015,0,0,1,1,0,0,0,0
Spain,6/05/2015,0,0,1,1,0,0,0,0
Liberia,7/05/2015,5534,1879,3151,10564,0,0,0,4716
Spain,7/05/2015,0,0,1,1,0,0,0,0
